zip,totkbtu,avgkbtu
95562,90472480.22,60868.55248
95563,11748082.12,33510.09876
95564,0,0
95565,18332418.87,54087.23881
95568,0,0
95569,4891550.705,36940.59689
95570,53199901.28,42429.80296
95571,6564319.019,48714.79792
95573,36355092.96,34297.25751
95585,9084403.993,36001.60103
95587,0,0
95589,8741173.254,68468.72
95595,0,0
95601,4782764.806,27942.15076
95602,336574981.8,43858.27509
95603,756286994.2,59904.25643
95605,299121792.8,53290.26191
95606,9714295.574,39249.67909
95607,6180190.351,35861.83956
95608,1065313200,958015.4676
95610,602002200,816703.2848
95612,24352469.56,49758.15336
95613,5754010.449,27830.76396
95614,56323464.44,31899.26247
95615,0,0
95616,953276664.5,48764.52994
95618,558778282.4,52272.22111
95619,61016906.2,28794.00977
95620,428274571.2,54897.02569
95621,506756200,746098.3253
95623,60245680.3,32898.66501
95624,775598800,867200.4621
95625,3137836.155,27167.4126
95626,44967034.24,147284.0055
95627,73413514.44,54022.73058
95628,770783200,975541.16
95629,13303288.51,29906.23119
95630,1208885600,870790.3585
95631,84033333.57,33540.66199
95632,313926594.1,415153.0054
95633,42937114.17,31654.8117
95634,41266765.06,29208.51603
95635,15900416.23,31790.23571
95636,15916081.37,23740.58128
95637,6494295.049,36777.50854
95640,163567990.4,47661.69611
95641,40779885.84,44949.92813
95642,175894105,48602.84608
95645,16259305.28,32758.84208
95648,1361284507,59146.33771
95650,321033098.5,61845.86014
95651,11559114.31,30749.14025
95652,9357500,744135.1889
95653,6683003.542,39331.06547
95656,9287470.778,32702.36189
95658,108079858.7,42171.19731
95659,9887065.954,32947.73436
95660,388874200,808715.4629
95661,525693497.2,746158.4461
95662,480361500,909703.7797
95663,54155297.4,45362.52749
95664,22734495.75,36683.3332
95665,69923732.11,30039.19326
95666,88011218.52,23272.61678
95667,504102086.6,31365.72474
95668,12046702.52,37305.91749
95669,35195862.2,31399.17823
95670,796635300,794292.1382
95672,67103078.4,35836.08994
95673,180734000,791246.9901
95674,10002474.82,36153.52345
95675,5396407.769,27780.73498
95676,5910620.925,40117.3366
95677,696544253.7,63582.36272
95678,645645400,752668.6031
95679,0,0
95681,23404666.04,45136.2806
95682,423195179,34557.35909
95684,50085605.49,30564.85282
95685,110052398.8,45731.62724
95686,23905750.07,55291.52147
95687,1396066107,55899.10238
95688,884278536.5,56859.67184
95689,21200219.44,27718.7441
95690,23196155.1,33443.93383
95691,863300324,58970.68253
95692,109822857.7,53569.29482
95694,179950025.5,49467.56755
95695,866966435,54304.33434
95697,10232716.51,55925.39712
95698,0,0
95701,12773208.89,24241.42128
95703,23010585.78,33793.54172
95709,66205616.91,30475.56112
95713,133236706,33019.56737
95714,5671631.113,21415.85065
95715,2820752.657,17287.55459
95717,2668086.616,26373.17908
95720,3591534.979,7762.683673
95721,1633788.008,5697.604213
95722,88587599.46,46378.00809
95724,0,0
95726,118206754.4,27013.02684
95728,27181045.18,16007.68268
95735,4159885.175,6386.722377
95736,4485253.352,29918.3103
95742,178915500,791092.6878
95746,834036836,109279.3486
95747,1086146605,613647.9279
95757,615602300,818416.0199
95758,902531400,798720.9699
95762,1338568187,77004.16348
95765,959975446,64194.83493
95776,462162203.1,54094.33962
95811,68171800,482432.9775
95814,108451400,954047.9437
95815,311260000,777186.6124
95816,292449600,681687.4575
95817,202721800,696548.7265
95818,401258900,796030.1542
95819,357270100,885098.7241
95820,507984900,786699.378
95821,590957300,889175.7227
95822,719531400,921157.4029
95823,791329300,819793.2032
95824,324010800,797826.897
95825,422843200,965726.1619
95826,483556700,753042.3001
95827,197935500,877633.018
95828,612650300,800174.5367
95829,388054300,867216.9694
95830,0,0
95831,651638500,868827.1992
95832,132323500,853883.6309
95833,397791100,742061.047
95834,312711500,652235.3064
95835,560078700,763873.8876
95837,0,0
95838,416807700,764095.4491
95841,276069500,741922.8702
95842,345914300,739653.3531
95843,628842000,816616.0572
95864,579899600,1162735.106
95901,717477626.9,52441.12538
95903,0,0
95910,0,0
95912,91420890.26,52877.9397
95913,5487706.443,34477.73681
95914,20015861.67,36097.13556
95915,0,0
95916,28092028.99,31245.18935
95917,55657306.86,93191.89629
95918,36364486.59,35654.37038
95919,17011105.86,29074.67175
95920,3308368.17,29320.8405
95922,9477342.811,24632.46994
95923,0,0
95925,3122815.908,24129.93618
95926,923330180.9,51776.09273
95928,845843189.8,50490.23847
95930,3296804.422,19148.91242
95932,184841451.1,57016.61488
95934,3269841.678,22473.13868
95935,15200111.69,31788.31305
95936,4467018.868,18420.69636
95937,25404753.21,45462.71256
95938,101777994.1,61256.69222
95939,6006345.147,29370.88091
95941,7346030.431,29462.6889
95942,26151537.22,25218.45441
95943,11002013.94,33602.48595
95944,0,0
95945,614704407.5,51317.09661
95946,174837961.8,35674.39124
95947,24242437.15,21534.47671
95948,199456183.3,105387.3948
95949,334114228.4,38828.57535
95950,4990983.925,34282.66004
95951,47542772.37,56362.57617
95953,218937215.2,56902.46556
95954,179382959.8,31650.69647
95955,29833673.85,53124.2152
95956,6055469.75,21710.67732
95957,15097920.59,50182.82333
95959,430761169.5,52327.67098
95960,11771301.75,36823.67595
95961,536768646.1,59962.50964
95962,20605493.39,31406.82341
95963,290516960.6,46002.35709
95965,394221971.1,50633.75527
95966,612591313.4,48097.46143
95968,33843624.26,54835.60951
95969,899958883.1,63522.9409
95970,14661211.83,56887.95755
95971,57500298.44,23279.47305
95972,0,0
95973,801045730.6,52718.94715
95974,9950654.414,65033.41483
95975,26261124.97,34009.65893
95977,26979275.01,37562.51307
95978,3629450.697,24036.09733
95979,9613456.553,23591.30442
95981,3070135.853,8243.819699
95982,79389908.17,58983.74447
95983,7576421.646,25226.70914
95984,3639318.611,22722.07249
95986,2341879.052,20349.41971
95987,102798136,51384.18802
95988,199732962.6,51497.36585
95991,948002090.8,57970.74354
95993,883635236.6,64231.81726
96001,488170962.6,220140.6043
96002,509554400.3,200076.0039
96003,693402100.4,122668.2294
96007,492610743,49469.63001
96008,13230722.49,37217.2222
96009,4134280.464,26235.51854
96010,0,0
96013,133843249.4,67843.0177
96016,6172260.534,24788.19491
96019,121492000,772235.8176
96020,34487470.89,19393.14202
96021,297192075.6,45076.39843
96022,281618871.4,42232.32542
96028,37038139.54,46896.58287
96033,6181469.904,32153.28949
96035,51271528.67,41511.90649
96040,4033270.835,23853.7457
96047,9616670.79,33285.2753
96051,19412025.2,26689.31054
96055,54123701.09,33878.48381
96056,26653184.94,37199.79056
96059,8820481.662,30787.02151
96061,754468.8729,5173.500843
96062,18008737.6,40416.09335
96063,2429165.047,7606.988665
96065,4804657.106,23127.11002
96069,11248838.03,36482.71794
96071,3125716.228,15021.46365
96073,70511094.76,40137.23908
96075,4237467.039,21739.89075
96076,0,0
96080,623377677.1,49156.25238
96084,10530623.16,36638.87444
96087,13758816.24,34707.96613
96088,67549253.46,27150.93088
96090,10910543.39,51247.26815
96092,7127278.031,38665.16111
96096,9096868.546,37117.45071
96125,4546777.678,9853.951985
96137,43730041.29,14878.80279
96161,0,0
